title,genre,status,table,year,premiere_month,premiere_year,seasons_count,episodes_count,length_low,length_hi
Team Kaylie,sitcom,Renewed,7,2019,9.0,2019,1,5.0,27,30
Club de Cuervos,comedy drama,Ended,8,2015,8.0,2015,4,45.0,36,94
Marseille,political drama,Ended,8,2016,5.0,2016,2,16.0,35,53
Estocolmo,crime drama,Ended,8,2016,11.0,2016,1,13.0,37,49
3%,science fiction,Renewed,8,2016,11.0,2016,3,26.0,38,51
Ingobernable,political drama,Ended,8,2017,3.0,2017,2,27.0,32,50
My Only Love Song,comedy,Ended,8,2017,6.0,2017,1,20.0,27,30
Suburra: Blood on Rome,crime drama,Renewed,8,2017,10.0,2017,2,18.0,42,62
Blazing Transfer Student,action comedy,Ended,8,2017,11.0,2017,1,8.0,23,28
Dark,science fiction,Renewed,8,2017,12.0,2017,2,18.0,45,61
Edha,drama,Ended,8,2018,3.0,2018,1,10.0,38,43
The Rain,post apocalyptic drama,Renewed,8,2018,5.0,2018,2,14.0,36,49
Club de Cuervos Presents: The Ballad of Hugo Sánchez,comedy,Ended,8,2018,6.0,2018,1,6.0,29,37
Jimmy: The True Story of a True Idiot,comedy,Ended,8,2018,7.0,2018,1,9.0,39,64
Switched,science fiction,Ended,8,2018,8.0,2018,1,6.0,33,44
The House of Flowers,comedy,Renewed,8,2018,8.0,2018,2,22.0,27,40
YG Future Strategy Office,comedy,Ended,8,2018,10.0,2018,1,8.0,20,29
Élite,crime teen drama,Renewed,8,2018,10.0,2018,2,16.0,47,56
Wild District,crime drama,Renewed,8,2018,10.0,2018,1,10.0,40,48
1983,spy thriller,Renewed,8,2018,11.0,2018,1,8.0,50,63
The Protector,supernatural mystery,Renewed,8,2018,12.0,2018,2,18.0,31,51
Diablero,horror fantasy thriller,Renewed,8,2018,12.0,2018,1,8.0,36,44
Kingdom,fantasy,Renewed,8,2019,1.0,2019,1,6.0,44,57
Always a Witch,supernatural drama,Renewed,8,2019,2.0,2019,1,10.0,39,43
Delhi Crime,police procedural,Renewed,8,2019,3.0,2019,1,7.0,45,64
Most Beautiful Thing,period drama,Renewed,8,2019,3.0,2019,1,7.0,35,56
Quicksand,crime drama,Ended,8,2019,4.0,2019,1,6.0,41,49
Persona,drama anthology series,Renewed,8,2019,4.0,2019,1,4.0,19,27
High Seas,mystery period drama,Renewed,8,2019,5.0,2019,1,8.0,39,49
How to Sell Drugs Online (Fast),dark comedy,Renewed,8,2019,5.0,2019,1,6.0,24,32
Family Business,comedy,Renewed,8,2019,6.0,2019,1,6.0,28,31
The Chosen One,thriller drama,Renewed,8,2019,6.0,2019,1,6.0,41,54
The Naked Director,period drama comedy,Renewed,8,2019,8.0,2019,1,8.0,39,54
Chef's Table,culinary art,Renewed,9,2015,4.0,2015,6,30.0,42,58
Making a Murderer,crime drama,Ended,9,2015,12.0,2015,2,20.0,47,77
Chelsea Does,comedy,Ended,9,2016,1.0,2016,1,4.0,62,74
Last Chance U,sport,Renewed,9,2016,7.0,2016,4,30.0,52,76
Chef's Table: France,culinary art,Ended,9,2016,9.0,2016,1,4.0,41,54
The Day I Met El Chapo,biography,Ended,9,2017,10.0,2017,1,3.0,48,61
Shot in the Dark,true crime,Ended,9,2017,11.0,2017,1,8.0,34,41
72 Dangerous Animals: Latin America,nature,Ended,9,2017,12.0,2017,1,12.0,41,46
The Toys That Made Us,documentary,Renewed,9,2017,12.0,2017,2,8.0,43,51
Somebody Feed Phil,travel documentary,Renewed,9,2018,1.0,2018,2,12.0,55,63
Drug Lords,documentary,Ended,9,2018,1.0,2018,2,8.0,42,47
Dirty Money,documentary,Renewed,9,2018,1.0,2018,1,6.0,50,77
Coach Snoop,sport,Ended,9,2018,2.0,2018,1,8.0,28,30
First Team: Juventus,sport,Ended,9,2018,2.0,2018,2,6.0,37,42
Ugly Delicious,travel documentary,Renewed,9,2018,2.0,2018,1,8.0,46,55
Rapture,documentary,Ended,9,2018,3.0,2018,1,8.0,52,63
Explained,docu series,Renewed,9,2018,5.0,2018,2,21.0,14,26
Dark Tourist,travel documentary,Ended,9,2018,7.0,2018,1,8.0,39,42
Marching Orders,docu series,Ended,9,2018,8.0,2018,1,12.0,9,14
72 Dangerous Animals: Asia,nature,Ended,9,2018,8.0,2018,1,12.0,44,48
Afflicted,docu series,Ended,9,2018,8.0,2018,1,7.0,37,46
Follow This,docu series,Ended,9,2018,8.0,2018,3,20.0,15,20
First and Last,docu series,Ended,9,2018,9.0,2018,1,6.0,38,43
Boca Juniors Confidential,docu series,Ended,9,2018,9.0,2018,1,4.0,40,44
Dogs,docu series,Renewed,9,2018,11.0,2018,1,6.0,50,53
Formula 1: Drive to Survive,sport,Renewed,9,2019,3.0,2019,1,10.0,27,41
White Rabbit Project,science investigation,Ended,10,2016,12.0,2016,1,10.0,45,48
Chasing Cameron,celebrity,Ended,10,2016,12.0,2016,1,10.0,26,33
Ultimate Beastmaster,competition,Ended,10,2017,2.0,2017,3,29.0,41,84
Queer Eye,makeover reality,Renewed,10,2018,2.0,2018,4,32.0,43,52
Cooking on High,cooking show,Ended,10,2018,6.0,2018,1,12.0,13,15
Amazing Interiors,reality,Ended,10,2018,7.0,2018,1,12.0,21,28
Magic for Humans,reality,Renewed,10,2018,8.0,2018,1,6.0,22,25
Stay Here,reality,Ended,10,2018,8.0,2018,1,8.0,31,33
Car Masters: Rust to Riches,motoring television series,Ended,10,2018,9.0,2018,1,8.0,31,40
Battlefish,reality,Ended,10,2018,9.0,2018,1,8.0,38,46
Made in Mexico,spanish language reality series,Ended,10,2018,9.0,2018,1,8.0,45,54
Dancing Queen,celebrity,Ended,10,2018,10.0,2018,1,8.0,38,46
The Curious Creations of Christine McConnell,cooking show,Ended,10,2018,10.0,2018,1,6.0,24,29
Nailed It! Holiday,reality competition,Renewed,10,2018,12.0,2018,1,7.0,33,35
Rhythm + Flow,music competition,Renewed,10,2019,10.0,2019,1,7.0,51,63
Chelsea,late night,Ended,11,2016,5.0,2016,2,120.0,27,64
Bill Nye Saves the World,science,Ended,11,2017,4.0,2017,3,25.0,26,41
Beyond Stranger Things,aftershow,Ended,11,2017,10.0,2017,1,7.0,15,25
The Joel McHale Show with Joel McHale,comedy,Ended,11,2018,2.0,2018,2,19.0,22,28
